,rmse,rel,acc_1,acc_2,acc_3
0,3.9101986102203825,0.7876319315896105,0.4107149323420738,0.6698091421554337,0.8017691996560168
1,1.9952376636106577,0.34303280844617245,0.6609066635815065,0.8907111438352671,0.9564605257404384
2,1.4615420441129314,0.2812975413763701,0.813382276848181,0.9538589022052821,0.9804856029909048
3,1.22634546080632,0.25206264097299147,0.8827101864031891,0.9698388398583255,0.9859389120073461
4,1.1063465858573345,0.23348882305088328,0.9175544852641091,0.9764052433754081,0.988250049192514
5,1.0384652436669193,0.22130157698446246,0.9340504318920534,0.9796276946565998,0.9895116322076143
6,0.9924732037444612,0.21392146153236502,0.9415174455785039,0.9812809958386777,0.9901681017519822
7,0.9632628711301889,0.209849713453606,0.9449046120714786,0.9823319164674673,0.9905964865613339
8,0.9304369456732451,0.2065242368783524,0.9476069550016033,0.983098727553638,0.9909223869665346
9,0.9258745108077775,0.2031475038670782,0.949539526184993,0.9837557664558069,0.991183152839319
10,0.8805448048150362,0.19064759496432632,0.9567803909529501,0.9846740267170009,0.9915218068592584
11,0.8594568167159806,0.18418373278717495,0.9592642712948928,0.9853024838575676,0.9917797259430388
12,0.8596778983500466,0.1845665120366794,0.9592740642490671,0.9855397921889576,0.9919062372463853
13,0.8527249578219741,0.18254654443086082,0.9587078948519123,0.9857533013642724,0.992037645026819
14,0.8409908351613514,0.17483020896342263,0.9616610398933069,0.9861370485220382,0.9921880693578008
15,0.8231314474077367,0.1705928489343444,0.963547777773729,0.9864933526338037,0.9923592183127332
16,0.8278887734484317,0.1688150434351679,0.9624432236401003,0.9865095223953475,0.992398390129431
17,0.8052062418923449,0.16030058220251284,0.9657513063345382,0.9869922239388993,0.9925830898000233
18,0.7949761917342001,0.15737523605574422,0.9663688318053288,0.9871682693709188,0.9926876238922575
19,0.8144638289266558,0.15737902228511982,0.9657798880961403,0.9871794287838153,0.9927067543143657
20,0.7579658849915462,0.1439125573457177,0.9692650410666395,0.987824169557486,0.9929876754532999
21,0.730763734276615,0.135529930911847,0.9707131456972947,0.9881562190269356,0.9931350252521571
22,0.7226899559818097,0.1322040557861328,0.9711003090018657,0.9882807945137593,0.9931932136194029
23,0.7125170693468692,0.12962943404468139,0.9714005883060285,0.9883658565692047,0.9932324993076609
24,0.7092100114964727,0.1281171343219814,0.9714943046000466,0.988405370000583,0.9932672301335121
25,0.7072369020376632,0.12667263087941638,0.9716289007841651,0.9884538792852146,0.9932892073446246
26,0.7041372042983326,0.12583913376082234,0.9717040560138759,0.9885013637258045,0.9933168781337454
27,0.7008437540993762,0.12555193545213386,0.9717072444175606,0.9885137757258629,0.9933279236750816
28,0.7001624605548915,0.1248577174855702,0.971832275390625,0.9885873367537313,0.9933692590514226
29,0.708798536613806,0.13068526538450326,0.9710093256252915,0.9884865604229828,0.9933479650696712
30,0.7001933766834771,0.1274374776811742,0.9714272342511078,0.9885661566435401,0.9933834929964436
31,0.714813915651236,0.13367195983431232,0.9705466654763293,0.988463672239389,0.9933546834917211
32,0.6912413070450968,0.12330448093698985,0.9719314575195312,0.9887219329378498,0.9934628614738806
33,0.6831180515573986,0.12155732112144356,0.9723400286774138,0.9888158769749883,0.9935082962263876
34,0.6769003227575502,0.11829860886531089,0.972706467358034,0.9889299762782766,0.9935652320064715
35,0.6717199638708314,0.11753878664614549,0.9727718296335705,0.9889631129022854,0.9935816295111357
36,0.6794632868980294,0.12003724966476213,0.9725388484214669,0.9889257630305504,0.9935796936946129
37,0.6810046523364622,0.1197523999570021,0.9725197179993587,0.988941818920534,0.9935869814744637
38,0.6923432990686217,0.12483891444419747,0.9718605155375466,0.9888586926816115,0.993566256850513
39,0.6817487460463795,0.11925167112208124,0.9726141175227379,0.9890079782969916,0.9936344659150537
40,0.6553623711884912,0.1112956431374621,0.973790866225513,0.9893227192892957,0.9937686066129314
41,0.6397386237756529,0.10674123621698636,0.9743547581914646,0.9894906798405434,0.9938501386500117
42,0.6366728028254722,0.10512821709931787,0.9745164558069029,0.9895464769050256,0.9938730268336055
43,0.6378704469595382,0.10403095786251239,0.9746567455690298,0.9895855348501632,0.9938907907969916
44,0.6301921445931962,0.1032149186774866,0.9747190333124417,0.9896127501530434,0.9939094657328591
45,0.6319346072068855,0.10269893817047575,0.9747927082118704,0.9896408764284048,0.993918233842992
46,0.6327285197243762,0.10276753155153188,0.974770731000758,0.9896310834742305,0.9939217638613572
47,0.6320362945101154,0.10333222773537706,0.9747110623032299,0.9896278950705457,0.9939205112741955
48,0.6323876452090135,0.1040531414658276,0.9746789505232626,0.9896199240613339,0.9939180060998717
49,0.6311115435699919,0.10385363849241343,0.9746903376792794,0.9896406486852846,0.9939322400448928
